size,index,value,update_ns
1000,184,1000,170467
1000,984,3030,170109
1000,367,7704,169442
1000,93,6064,182260
1000,37,9920,178724
1000,807,2592,182436
1000,256,1920,174725
1000,350,8674,173880
1000,490,3450,173475
1000,73,4932,172132
1000,71,3618,176613
1000,681,2864,172572
1000,358,7144,171571
1000,989,951,171109
1000,515,7653,171501
1000,22,3188,170942
1000,635,1662,170535
1000,735,2029,170428
1000,865,2653,170698
1000,853,1901,177992
1000,173,3332,221688
1000,959,373,170424
1000,611,7246,170306
1000,103,6410,170432
1000,858,9335,175665
1000,204,4262,170568
1000,557,6973,170638
1000,744,1000,170440
1000,40,9772,175720
1000,855,4258,170119
1000,184,1000,170173
1000,984,3030,169702
1000,367,7704,169717
1000,93,6064,182321
1000,37,9920,178887
1000,807,2592,175996
1000,256,1920,194562
1000,350,8674,173982
1000,490,3450,173266
1000,73,4932,174988
1000,71,3618,171765
1000,681,2864,172147
1000,358,7144,171542
1000,989,951,171599
1000,515,7653,170992
1000,22,3188,177008
1000,635,1662,170856
1000,735,2029,170481
1000,865,2653,170530
1000,853,1901,170217
1000,173,3332,176627
1000,959,373,170180
1000,611,7246,170360
1000,103,6410,170162
1000,858,9335,169915
1000,204,4262,170510
1000,557,6973,170714
1000,744,1000,170677
1000,40,9772,170622
1000,855,4258,175935
1000,184,1000,170743
1000,984,3030,170049
1000,367,7704,169884
1000,93,6064,182710
1000,37,9920,178571
1000,807,2592,176377
1000,256,1920,182405
1000,350,8674,173744
1000,490,3450,173536
1000,73,4932,172281
1000,71,3618,171680
1000,681,2864,172160
1000,358,7144,172066
1000,989,951,171444
1000,515,7653,171254
1000,22,3188,177003
1000,635,1662,170922
1000,735,2029,170741
1000,865,2653,170577
1000,853,1901,170735
1000,173,3332,176253
1000,959,373,170458
1000,611,7246,170076
1000,103,6410,170199
1000,858,9335,169634
1000,204,4262,174116
1000,557,6973,170317
1000,744,1000,170620
1000,40,9772,170535
1000,855,4258,175371
1000,184,1000,170595
1000,984,3030,170176
1000,367,7704,169821
1000,93,6064,182157
1000,37,9920,178252
1000,807,2592,175799
1000,256,1920,174734
1000,350,8674,181217
1000,490,3450,172997
1000,73,4932,172226
1000,71,3618,171572
1000,681,2864,177438
1000,358,7144,171565
1000,989,951,170903
1000,515,7653,170680
1000,22,3188,170265
1000,635,1662,176242
1000,735,2029,170640
1000,865,2653,170440
1000,853,1901,170322
1000,173,3332,170002
1000,959,373,175238
1000,611,7246,170218
1000,103,6410,169903
1000,858,9335,170033
1000,204,4262,169897
1000,557,6973,170326
1000,744,1000,170325
1000,40,9772,170297
1000,855,4258,169811
1000,184,1000,175180
1000,984,3030,169999
1000,367,7704,169618
1000,93,6064,189647
1000,37,9920,178797
1000,807,2592,175940
1000,256,1920,173874
1000,350,8674,173340
1000,490,3450,172450
1000,73,4932,171894
1000,71,3618,171574
1000,681,2864,171595
1000,358,7144,175803
1000,989,951,170959
1000,515,7653,170303
1000,22,3188,170511
1000,635,1662,170377
1000,735,2029,230417
1000,865,2653,171473
1000,853,1901,170749
1000,173,3332,169870
1000,959,373,169770
1000,611,7246,174403
1000,103,6410,169882
1000,858,9335,169165
1000,204,4262,169796
1000,557,6973,175213
1000,744,1000,169689
1000,40,9772,222978
1000,855,4258,170112
1000,184,1000,169877
1000,984,3030,175732
1000,367,7704,169440
2000,156,6985,406616
2000,1028,550,413925
2000,1010,4292,401233
2000,1034,6262,407073
2000,1552,9832,400211
2000,113,588,406172
2000,1855,3376,399859
2000,1175,1485,400045
2000,681,1075,403659
2000,478,335,396993
2000,489,4703,402439
2000,1345,3,396387
2000,786,6286,401561
2000,1517,2981,395963
2000,1931,4961,401222
2000,1779,7548,395568
2000,1983,6083,395801
2000,1493,5472,422176
2000,855,7900,397155
2000,127,2683,401378
2000,1312,2086,397044
2000,1845,9807,400196
2000,1167,4169,396944
2000,1244,9607,395984
2000,619,8304,401847
2000,1845,8680,396809
2000,593,8772,401519
2000,1731,6366,395854
2000,1389,8486,400926
2000,1582,6685,396400
2000,156,6985,407647
2000,1028,550,404070
2000,1010,4292,401693
2000,1034,6262,406369
2000,1552,9832,400053
2000,113,588,404174
2000,1855,3376,400128
2000,1175,1485,404184
2000,681,1075,397467
2000,478,335,418523
2000,489,4703,454230
2000,1345,3,451070
2000,786,6286,397048
2000,1517,2981,395854
2000,1931,4961,396146
2000,1779,7548,395326
2000,1983,6083,399897
2000,1493,5472,396380
2000,855,7900,403264
2000,127,2683,395816
2000,1312,2086,396284
2000,1845,9807,400750
2000,1167,4169,396325
2000,1244,9607,401582
2000,619,8304,395219
2000,1845,8680,400961
2000,593,8772,444743
2000,1731,6366,402577
2000,1389,8486,396466
2000,1582,6685,454028
2000,156,6985,435658
2000,1028,550,404427
2000,1010,4292,414872
2000,1034,6262,401384
2000,1552,9832,411492
2000,113,588,399979
2000,1855,3376,422409
2000,1175,1485,400527
2000,681,1075,407078
2000,478,335,397943
2000,489,4703,396116
2000,1345,3,395997
2000,786,6286,396186
2000,1517,2981,404414
2000,1931,4961,396613
2000,1779,7548,414581
2000,1983,6083,396443
2000,1493,5472,403353
2000,855,7900,396792
2000,127,2683,395606
2000,1312,2086,402139
2000,1845,9807,395567
2000,1167,4169,401010
2000,1244,9607,396859
2000,619,8304,401484
2000,1845,8680,396792
2000,593,8772,401743
2000,1731,6366,395944
2000,1389,8486,396044
2000,1582,6685,401513
2000,156,6985,423151
2000,1028,550,411932
2000,1010,4292,401815
2000,1034,6262,406743
2000,1552,9832,400730
2000,113,588,399311
2000,1855,3376,406078
2000,1175,1485,399817
2000,681,1075,402573
2000,478,335,396564
2000,489,4703,401496
2000,1345,3,395325
2000,786,6286,416417
2000,1517,2981,396526
2000,1931,4961,395978
2000,1779,7548,400735
2000,1983,6083,409260
2000,1493,5472,422487
2000,855,7900,397648
2000,127,2683,403298
2000,1312,2086,396680
2000,1845,9807,395798
2000,1167,4169,402135
2000,1244,9607,396930
2000,619,8304,406705
2000,1845,8680,398112
2000,593,8772,406495
2000,1731,6366,396391
2000,1389,8486,405745
2000,1582,6685,396275
2000,156,6985,407150
2000,1028,550,409934
2000,1010,4292,402116
2000,1034,6262,406945
2000,1552,9832,400201
2000,113,588,405655
2000,1855,3376,400208
2000,1175,1485,405984
2000,681,1075,397945
2000,478,335,396953
2000,489,4703,402503
2000,1345,3,396024
2000,786,6286,401025
2000,1517,2981,395893
2000,1931,4961,400708
2000,1779,7548,395568
2000,1983,6083,395596
2000,1493,5472,396450
2000,855,7900,395978
2000,127,2683,400090
2000,1312,2086,397048
2000,1845,9807,400130
2000,1167,4169,396786
2000,1244,9607,421649
2000,619,8304,396842
2000,1845,8680,397305
2000,593,8772,396928
2000,1731,6366,395243
2000,1389,8486,401114
2000,1582,6685,396053
2000,156,6985,405970
2000,1028,550,404694
2000,1010,4292,401894
2000,1034,6262,408473
2000,1552,9832,400605
2000,113,588,405511
2000,1855,3376,399863
2000,1175,1485,407606
2000,681,1075,397881
2000,478,335,403399
2000,489,4703,397480
2000,1345,3,400878
2000,786,6286,396023
2000,1517,2981,396706
2000,1931,4961,403450
2000,1779,7548,395478
2000,1983,6083,404048
2000,1493,5472,396550
2000,855,7900,412299
2000,127,2683,396109
2000,1312,2086,396552
2000,1845,9807,414499
2000,1167,4169,397301
2000,1244,9607,401858
2000,619,8304,396253
2000,1845,8680,404370
2000,593,8772,397265
2000,1731,6366,401779
2000,1389,8486,396768
2000,1582,6685,395777
2000,156,6985,464829
2000,1028,550,404007
2000,1010,4292,407121
2000,1034,6262,400505
2000,1552,9832,407611
2000,113,588,400045
2000,1855,3376,404722
2000,1175,1485,399855
2000,681,1075,397785
2000,478,335,402671
2000,489,4703,396866
2000,1345,3,401866
2000,786,6286,395855
2000,1517,2981,400249
2000,1931,4961,395827
2000,1779,7548,498614
2000,1983,6083,396855
2000,1493,5472,396554
2000,855,7900,402380
2000,127,2683,395188
2000,1312,2086,418759
2000,1845,9807,395923
2000,1167,4169,401368
2000,1244,9607,396559
2000,619,8304,394768
2000,1845,8680,396574
2000,593,8772,396443
2000,1731,6366,399408
2000,1389,8486,396633
2000,1582,6685,403366
2000,156,6985,408265
2000,1028,550,411772
2000,1010,4292,401365
2000,1034,6262,401827
2000,1552,9832,406214
2000,113,588,400484
2000,1855,3376,405757
2000,1175,1485,399699
2000,681,1075,403453
2000,478,335,396731
2000,489,4703,402962
2000,1345,3,396752
2000,786,6286,395579
2000,1517,2981,400613
2000,1931,4961,395449
2000,1779,7548,418218
2000,1983,6083,394654
2000,1493,5472,402073
2000,855,7900,396880
2000,127,2683,395824
2000,1312,2086,401240
2000,1845,9807,396173
2000,1167,4169,403139
2000,1244,9607,396406
2000,619,8304,402767
2000,1845,8680,397557
2000,593,8772,403603
2000,1731,6366,396870
2000,1389,8486,396212
2000,1582,6685,401321
2000,156,6985,406899
2000,1028,550,411513
2000,1010,4292,401781
2000,1034,6262,405846
2000,1552,9832,400062
2000,113,588,458779
2000,1855,3376,419702
2000,1175,1485,400552
2000,681,1075,397696
2000,478,335,397843
2000,489,4703,402025
2000,1345,3,396482
2000,786,6286,400874
2000,1517,2981,395826
2000,1931,4961,419796
2000,1779,7548,395380
2000,1983,6083,395790
2000,1493,5472,458558
2000,855,7900,396975
2000,127,2683,400721
2000,1312,2086,396065
2000,1845,9807,449211
2000,1167,4169,396451
2000,1244,9607,400842
2000,619,8304,395775
2000,1845,8680,396661
2000,593,8772,396978
2000,1731,6366,395735
2000,1389,8486,402600
2000,1582,6685,395808
2000,156,6985,413025
2000,1028,550,403676
2000,1010,4292,401284
2000,1034,6262,405458
2000,1552,9832,400506
2000,113,588,407378
2000,1855,3376,399859
2000,1175,1485,404886
2000,681,1075,397930
2000,478,335,407385
2000,489,4703,398228
2000,1345,3,412553
2000,786,6286,396055
2000,1517,2981,396060
2000,1931,4961,419829
2000,1779,7548,395739
2000,1983,6083,402216
2000,1493,5472,396442
2000,855,7900,403208
2000,127,2683,396202
2000,1312,2086,396423
2000,1845,9807,402201
2000,1167,4169,397397
2000,1244,9607,402212
2000,619,8304,395902
2000,1845,8680,402622
2000,593,8772,396943
2000,1731,6366,401485
2000,1389,8486,396613
2000,1582,6685,395722
2000,156,6985,471290
2000,1028,550,403570
2000,1010,4292,407126
2000,1034,6262,400524
